Reporting Period:,Lifetime
Report Type:,Account Performance
Grouped By:,6sense Accounts
Time of Report:,Sun Mar 05 2023 14:45:04 GMT+0800


6sense Company Name,6sense Country,6sense Domain,Impressions,Clicks,Spend,Website Engagement,Latest Impression,Influenced Form Fills
"Veeva Systems, Inc.","United States","veeva.com","314","0","$2.05",-,2023-03-04,"0"
"Freddie Mac","United States","freddiemac.com","306","0","$1.99",-,2023-02-28,"0"
"Royal Dutch Shell Group","United States","shell.com","286","0","$1.86",Increased,2023-03-04,"0"
"Gray Television, Inc.","United States","gray.tv","272","0","$1.77",-,2023-03-04,"0"
"Canadian Imperial Bank of Commerce (CIBC)","Canada","cibc.com","260","0","$1.69",-,2023-03-04,"0"
"Florida Department Of Children & Families","United States","myflfamilies.com","234","0","$1.52",Increased,2023-02-22,"0"
"Arch Capital Group Ltd.","United States","archcapgroup.com","217","1","$1.41",-,2023-03-04,"0"
"The Williams Companies, Inc.","United States","williams.com","211","0","$1.37",-,2023-03-04,"0"
"Scotts Miracle-Gro Company","United States","scotts.com","209","0","$1.36",-,2023-03-04,"0"
"California Department Of Veterans Affairs","United States","calvet.ca.gov","194","0","$1.26",-,2023-03-04,"0"
"MFS Investment Management","United States","mfs.com","176","0","$1.14",-,2023-03-04,"0"
"Becton, Dickinson and Company","United States","bd.com","176","0","$1.14",-,2023-02-17,"0"
"Kepro","United States","kepro.com","175","0","$1.14",-,2023-03-04,"0"
"Federal Deposit Insurance Corporation","United States","fdic.gov","175","0","$1.14",-,2023-03-04,"0"
"Ports America","United States","portsamerica.com","174","1","$1.13",-,2023-03-04,"0"
"Thoma Bravo","United States","thomabravo.com","163","0","$1.06",-,2023-03-04,"0"
"BNSF Railway","United States","bnsf.com","144","1","$0.94",-,2023-02-24,"0"
"Blue Cross Blue Shield Of Massachusetts","United States","bluecrossma.com","125","0","$0.81",-,2023-02-28,"0"
"OU Health","United States","ouhealth.com","121","0","$0.79",-,2023-03-04,"0"
"Marathon Petroleum Corporation","United States","marathonpetroleum.com","121","0","$0.79",-,2023-03-04,"0"
"Public Broadcasting Services","United States","goodwill.org","109","0","$0.71",-,2023-03-04,"0"
"Crain Communications","United States","crain.com","105","1","$0.68",-,2023-03-04,"0"
"SVB Financial Group ","United States","svb.com","103","0","$0.67",-,2023-02-26,"0"
"Pepperdine University","United States","pepperdine.edu","102","0","$0.66",-,2023-03-04,"0"
"AGCO","Canada","agco.ca","98","0","$0.64",-,2023-03-04,"0"
"Logitech International SA","United States","logitech.com","97","0","$0.63",-,2023-02-19,"0"
"Zurich Insurance Group","United States","zurichna.com","93","0","$0.60",-,2023-02-27,"0"
"Coverys","United States","coverys.com","90","0","$0.58",-,2023-03-04,"0"
"Brookfield Asset Management","United States","brookfield.com","87","0","$0.56",-,2023-02-24,"0"
"Organon","United States","organon.com","87","0","$0.56",-,2023-03-04,"0"
"Knights of Columbus","United States","kofc.org","75","1","$0.48",Increased,2023-02-22,"0"
"BlueCross BlueShield of Tennessee, Inc. ","United States","bcbst.com","71","0","$0.46",-,2023-02-24,"0"
"A.Y. McDonald Mfg","United States","aymcdonald.com","68","0","$0.44",New,2023-03-04,"0"
