Timeframe,Buying Stage,Number of Accounts,New Pipeline (USD),Total Won (USD)
"Dec 6, 2022 - Mar 5, 2023",Target,339,,
"Dec 6, 2022 - Mar 5, 2023",Awareness,214,,
"Dec 6, 2022 - Mar 5, 2023",Consideration,1423,,
"Dec 6, 2022 - Mar 5, 2023",Decision,34,,
"Dec 6, 2022 - Mar 5, 2023",Purchase,29,,
"Sep 7 - Dec 5, 2022",Target,312,,
"Sep 7 - Dec 5, 2022",Awareness,118,,
"Sep 7 - Dec 5, 2022",Consideration,1540,,
"Sep 7 - Dec 5, 2022",Decision,40,,
"Sep 7 - Dec 5, 2022",Purchase,29,,
